Behaviors;Observations;Intervals;F1;F2;F3;F4;M1
noseoff;C7F-formalin;1500.00-1800.00;0;0;1;0;0
noseoff;C8F-formalin;0.00-300.00;1;3;2;1;3
noseoff;C8F-formalin;300.00-600.00;1;1;0;1;2
noseoff;C8F-formalin;600.00-900.00;0;1;0;0;1
noseoff;C8F-formalin;900.00-1200.00;0;0;1;3;1
noseoff;C8F-formalin;1200.00-1500.00;0;0;0;0;0
noseoff;C8F-formalin;1500.00-1800.00;0;0;2;2;5
noseoff;C9F-formalin;0.00-300.00;0;0;1;1;0
noseoff;C9F-formalin;300.00-600.00;0;0;2;0;1
noseoff;C9F-formalin;600.00-900.00;0;0;0;0;1
noseoff;C9F-formalin;900.00-1200.00;0;1;0;1;1
noseoff;C9F-formalin;1200.00-1500.00;0;0;1;1;1
noseoff;C9F-formalin;1500.00-1800.00;0;0;2;1;2
noseoff;C10F-formalin;0.00-300.00;1;0;0;0;0
noseoff;C10F-formalin;300.00-600.00;0;0;0;0;0
noseoff;C10F-formalin;600.00-900.00;0;0;1;3;2
noseoff;C10F-formalin;900.00-1200.00;3;0;0;0;1
noseoff;C10F-formalin;1200.00-1500.00;0;0;3;0;0
noseoff;C10F-formalin;1500.00-1800.00;0;0;0;0;0
restingduo;C7F-baseline;0.00-300.00;0;0;0;0;0
restingduo;C7F-baseline;300.00-600.00;0;0;0;0;0
restingduo;C7F-baseline;600.00-900.00;0;0;0;0;0
restingduo;C7F-baseline;900.00-1200.00;0;0;0;0;0
restingduo;C7F-baseline;1200.00-1500.00;0;0;0;0;0
restingduo;C7F-baseline;1500.00-1800.00;2;0;0;0;1
restingduo;C8F-baseline;0.00-300.00;2;7;0;1;0
restingduo;C8F-baseline;300.00-600.00;0;2;0;0;0
restingduo;C8F-baseline;600.00-900.00;0;0;0;0;0
restingduo;C8F-baseline;900.00-1200.00;1;0;0;0;0
restingduo;C8F-baseline;1200.00-1500.00;0;0;0;0;0
restingduo;C8F-baseline;1500.00-1800.00;1;0;0;0;0
restingduo;C9F-baseline;0.00-300.00;2;0;0;0;0
restingduo;C9F-baseline;300.00-600.00;1;0;1;1;0
restingduo;C9F-baseline;600.00-900.00;0;0;1;2;0
restingduo;C9F-baseline;900.00-1200.00;0;0;0;0;0
restingduo;C9F-baseline;1200.00-1500.00;0;2;1;0;1
restingduo;C9F-baseline;1500.00-1800.00;0;1;0;0;1
restingduo;C10-baseline;0.00-300.00;2;0;2;0;1
restingduo;C10-baseline;300.00-600.00;0;0;0;0;0
restingduo;C10-baseline;600.00-900.00;1;0;3;0;0
restingduo;C10-baseline;900.00-1200.00;2;0;0;1;0
restingduo;C10-baseline;1200.00-1500.00;0;0;0;0;0
restingduo;C10-baseline;1500.00-1800.00;0;0;3;4;0
restingduo;C7F-formalin;0.00-300.00;1;0;0;4;0
restingduo;C7F-formalin;300.00-600.00;0;7;0;0;3
restingduo;C7F-formalin;600.00-900.00;0;5;0;0;2
restingduo;C7F-formalin;900.00-1200.00;0;0;0;0;0
restingduo;C7F-formalin;1200.00-1500.00;1;1;0;0;0
restingduo;C7F-formalin;1500.00-1800.00;1;0;0;0;0
restingduo;C8F-formalin;0.00-300.00;1;0;1;1;2
restingduo;C8F-formalin;300.00-600.00;0;1;0;0;0
restingduo;C8F-formalin;600.00-900.00;0;0;1;0;0
restingduo;C8F-formalin;900.00-1200.00;0;0;0;2;0
restingduo;C8F-formalin;1200.00-1500.00;1;0;1;3;3
restingduo;C8F-formalin;1500.00-1800.00;0;0;1;0;1
restingduo;C9F-formalin;0.00-300.00;0;0;0;0;0
restingduo;C9F-formalin;300.00-600.00;0;0;0;0;0
restingduo;C9F-formalin;600.00-900.00;0;0;0;1;2
restingduo;C9F-formalin;900.00-1200.00;7;8;0;1;3
restingduo;C9F-formalin;1200.00-1500.00;2;3;2;5;0
restingduo;C9F-formalin;1500.00-1800.00;0;2;0;7;0
restingduo;C10F-formalin;0.00-300.00;0;0;0;1;3
restingduo;C10F-formalin;300.00-600.00;0;0;0;0;0
restingduo;C10F-formalin;600.00-900.00;0;0;0;0;0
restingduo;C10F-formalin;900.00-1200.00;0;0;1;0;0
restingduo;C10F-formalin;1200.00-1500.00;0;0;2;0;1
restingduo;C10F-formalin;1500.00-1800.00;2;0;0;4;5
