Behaviors;Observations;Intervals;F1;F2;F3;F4;M1
huddling;C10-baseline;1500.00-1800.00;60.2984;95.1666;62.5651;133.832;5.3
huddling;C7F-formalin;0.00-300.00;0;0;7.79999;0;6.59999
huddling;C7F-formalin;300.00-600.00;0;0;0;0;0
huddling;C7F-formalin;600.00-900.00;0;41.5675;0;92.9008;98.2008
huddling;C7F-formalin;900.00-1200.00;0;27.2657;0;115.832;106.632
huddling;C7F-formalin;1200.00-1500.00;0;0;0;0;0
huddling;C7F-formalin;1500.00-1800.00;0;0;0;0;0
huddling;C8F-formalin;0.00-300.00;0;0;0;0;0
huddling;C8F-formalin;300.00-600.00;0;0;0;0;0
huddling;C8F-formalin;600.00-900.00;0;0;0;0;3.16666
huddling;C8F-formalin;900.00-1200.00;0;0;0;0;0
huddling;C8F-formalin;1200.00-1500.00;15.3333;8.09999;7.89999;0;0
huddling;C8F-formalin;1500.00-1800.00;0;0;0;0;0
huddling;C9F-formalin;0.00-300.00;0;0;0;0;0
huddling;C9F-formalin;300.00-600.00;0;0;0;0;0
huddling;C9F-formalin;600.00-900.00;0;105.267;19.4666;27.7;124.667
huddling;C9F-formalin;900.00-1200.00;0;11.8;0;9.26666;0
huddling;C9F-formalin;1200.00-1500.00;0;58.5666;0;6.06666;0
huddling;C9F-formalin;1500.00-1800.00;5.66666;43.6666;0;47.7333;0
huddling;C10F-formalin;0.00-300.00;0;0;0;0;0
huddling;C10F-formalin;300.00-600.00;0;0;0;0;0
huddling;C10F-formalin;600.00-900.00;0;0;0;0;0
huddling;C10F-formalin;900.00-1200.00;0;0;0;0;0
huddling;C10F-formalin;1200.00-1500.00;0;0;0;0;0
huddling;C10F-formalin;1500.00-1800.00;0;0;0;0;0
noseoff;C7F-baseline;0.00-300.00;2;5;1;0;1
noseoff;C7F-baseline;300.00-600.00;1;0;0;0;0
noseoff;C7F-baseline;600.00-900.00;2;1;0;1;0
noseoff;C7F-baseline;900.00-1200.00;0;0;0;0;0
noseoff;C7F-baseline;1200.00-1500.00;0;0;0;0;0
noseoff;C7F-baseline;1500.00-1800.00;0;0;0;0;0
noseoff;C8F-baseline;0.00-300.00;1;1;2;1;0
noseoff;C8F-baseline;300.00-600.00;0;4;2;0;6
noseoff;C8F-baseline;600.00-900.00;4;4;2;2;3
noseoff;C8F-baseline;900.00-1200.00;0;5;1;0;1
noseoff;C8F-baseline;1200.00-1500.00;1;3;1;0;3
noseoff;C8F-baseline;1500.00-1800.00;0;1;0;2;1
noseoff;C9F-baseline;0.00-300.00;5;2;4;1;2
noseoff;C9F-baseline;300.00-600.00;0;0;0;0;0
noseoff;C9F-baseline;600.00-900.00;1;0;1;2;3
noseoff;C9F-baseline;900.00-1200.00;0;1;2;0;2
noseoff;C9F-baseline;1200.00-1500.00;1;1;1;0;0
noseoff;C9F-baseline;1500.00-1800.00;0;2;2;0;0
noseoff;C10-baseline;0.00-300.00;1;0;2;1;2
noseoff;C10-baseline;300.00-600.00;0;0;2;2;1
noseoff;C10-baseline;600.00-900.00;0;1;0;0;1
noseoff;C10-baseline;900.00-1200.00;0;0;0;0;0
noseoff;C10-baseline;1200.00-1500.00;0;0;1;0;0
noseoff;C10-baseline;1500.00-1800.00;0;0;1;0;0
noseoff;C7F-formalin;0.00-300.00;0;1;1;0;2
noseoff;C7F-formalin;300.00-600.00;0;0;0;0;0
noseoff;C7F-formalin;600.00-900.00;0;1;2;2;0
noseoff;C7F-formalin;900.00-1200.00;0;0;0;0;0
noseoff;C7F-formalin;1200.00-1500.00;0;0;0;0;1
noseoff;C7F-formalin;1500.00-1800.00;0;1;0;0;0
noseoff;C8F-formalin;0.00-300.00;1;3;3;0;3
noseoff;C8F-formalin;300.00-600.00;0;2;2;1;0
noseoff;C8F-formalin;600.00-900.00;0;1;0;0;1
noseoff;C8F-formalin;900.00-1200.00;1;1;2;0;1
noseoff;C8F-formalin;1200.00-1500.00;0;0;0;0;0
noseoff;C8F-formalin;1500.00-1800.00;2;4;1;1;1
noseoff;C9F-formalin;0.00-300.00;0;0;1;1;0
noseoff;C9F-formalin;300.00-600.00;0;1;1;0;1
noseoff;C9F-formalin;600.00-900.00;0;0;1;0;0
noseoff;C9F-formalin;900.00-1200.00;1;0;0;1;1
noseoff;C9F-formalin;1200.00-1500.00;0;1;1;0;1
noseoff;C9F-formalin;1500.00-1800.00;1;0;2;0;2
