Behaviors;Observations;Intervals;F1-F;F2-F;F3-S;F4-S;M1-S
rearing;C2F-baseline;1200.00-1500.00;0;1;0;1;6
rearing;C2F-baseline;1500.00-1800.00;0;0;2;0;0
rearing;C5F-baseline;0.00-300.00;1;3;8;2;0
rearing;C5F-baseline;300.00-600.00;3;5;2;0;2
rearing;C5F-baseline;600.00-900.00;0;0;0;0;1
rearing;C5F-baseline;900.00-1200.00;0;2;0;0;3
rearing;C5F-baseline;1200.00-1500.00;0;1;0;0;6
rearing;C5F-baseline;1500.00-1800.00;0;0;0;0;2
rearing;C6F-baseline;0.00-300.00;11;4;3;2;18
rearing;C6F-baseline;300.00-600.00;1;2;4;4;9
rearing;C6F-baseline;600.00-900.00;0;4;2;0;3
rearing;C6F-baseline;900.00-1200.00;0;1;3;0;3
rearing;C6F-baseline;1200.00-1500.00;0;0;0;0;12
rearing;C6F-baseline;1500.00-1800.00;0;1;12;0;2
rearing;C1F-formalin;0.00-300.00;0;0;2;1;3
rearing;C1F-formalin;300.00-600.00;0;0;1;3;7
rearing;C1F-formalin;600.00-900.00;0;1;1;7;2
rearing;C1F-formalin;900.00-1200.00;7;1;0;1;0
rearing;C1F-formalin;1200.00-1500.00;0;0;0;0;0
rearing;C1F-formalin;1500.00-1800.00;0;0;0;3;0
rearing;C2F-formalin;0.00-300.00;2;4;2;11;10
rearing;C2F-formalin;300.00-600.00;1;4;0;6;3
rearing;C2F-formalin;600.00-900.00;4;5;5;13;0
rearing;C2F-formalin;900.00-1200.00;0;5;11;6;0
rearing;C2F-formalin;1200.00-1500.00;0;0;1;0;0
rearing;C2F-formalin;1500.00-1800.00;0;0;0;1;2
rearing;C5F-formalin;0.00-300.00;0;4;3;3;1
rearing;C5F-formalin;300.00-600.00;0;1;7;6;0
rearing;C5F-formalin;600.00-900.00;0;1;0;1;0
rearing;C5F-formalin;900.00-1200.00;0;0;0;2;7
rearing;C5F-formalin;1200.00-1500.00;5;0;0;0;6
rearing;C5F-formalin;1500.00-1800.00;12;0;0;0;0
rearing;C6F-formalin;0.00-300.00;4;0;7;2;5
rearing;C6F-formalin;300.00-600.00;3;2;1;2;0
rearing;C6F-formalin;600.00-900.00;0;0;4;0;13
rearing;C6F-formalin;900.00-1200.00;2;0;0;0;2
rearing;C6F-formalin;1200.00-1500.00;0;0;2;0;4
